order_id,product_id,add_to_cart_order,reordered
473,20082,1,1
473,24852,2,0
473,47144,3,1
473,36441,4,1
473,12206,5,0
473,4034,6,0
473,30573,7,0
473,42404,8,0
1280,48186,1,1
1280,49235,2,1
1280,23955,3,1
1280,27845,4,1
1280,39581,5,1
2442,15200,1,1
2442,21137,2,1
2442,21288,3,1
2442,45707,4,0
2442,8048,5,1
2442,6184,6,1
2853,35886,1,1
2853,6184,2,1
2853,9189,3,0
2853,23423,4,1
3422,39867,1,1
3422,11689,2,1
3422,3999,3,1
3422,28465,4,1
3422,28204,5,1
3422,4697,6,1
3422,39938,7,1
3422,32271,8,1
3422,18352,9,1
3422,35391,10,0
3422,30169,11,1
3422,27681,12,0
3422,34582,13,1
3422,640,14,0
3422,10329,15,0
3422,35440,16,0
3422,9509,17,0
3422,15359,18,0
3422,30731,19,0
3422,5098,20,0
3422,25877,21,0
3422,14612,22,0
3422,15468,23,0
3422,2042,24,0
3422,2380,25,0
3422,24396,26,0
3422,18599,27,0
3422,3808,28,0
3422,19653,29,0
3422,21019,30,0
3422,424,31,0
3422,25330,32,0
3422,36552,33,0
3422,365,34,0
3533,5785,1,1
3533,5959,2,1
3533,46969,3,0
3533,16616,4,1
3533,43086,5,0
3533,11520,6,0
3533,260,7,0
3817,38772,1,1
3817,28934,2,1
3817,41787,3,1
3817,43961,4,1
3817,25890,5,1
3898,27845,1,1
3898,2469,2,1
3898,24852,3,1
3898,14636,4,1
3898,17616,5,1
3898,38400,6,1
3898,35004,7,1
3898,32429,8,1
3898,3616,9,1
3898,9387,10,1
3898,21955,11,1
3898,27104,12,0
3898,45035,13,0
3898,21137,14,1
3898,31762,15,0
3898,47931,16,1
3898,41238,17,1
3898,38510,18,0
3898,24307,19,0
4092,26209,1,0
4092,6615,2,0
4092,44570,3,1
4092,47626,4,1
4092,17794,5,1
4092,31553,6,1
4092,35108,7,1
4092,42585,8,1
4092,21903,9,1
4092,34358,10,1
4092,45007,11,1
4092,40706,12,1
4092,1529,13,1
4092,42768,14,1
4092,16185,15,1
4092,4086,16,1
4092,10644,17,1
4284,19678,1,1
4284,45123,2,1
4284,24852,3,1
4284,45007,4,1
4284,18811,5,1
4284,25005,6,1
4284,35921,7,1
4284,27845,8,1
4284,10814,9,1
4284,47042,10,1
4284,13646,11,1
4284,21137,12,1
4284,20842,13,1
4284,23836,14,0
5362,4723,1,0
5362,42441,2,0
5362,43464,3,1
5362,30696,4,1
5535,18291,1,1
5535,34658,2,1
5535,32433,3,0
5535,47206,4,1
